K	Variance
611	3.1382865E-6
612	2.9132868E-6
613	2.752962E-6
614	2.7137187E-6
615	2.9651158E-6
616	3.0595652E-6
617	3.067796E-6
618	3.1014724E-6
619	3.2315465E-6
620	3.2561113E-6
621	3.1459124E-6
622	3.204678E-6
623	2.716761E-6
624	2.6562773E-6
625	2.8062861E-6
626	2.6798714E-6
627	3.4508641E-6
628	2.9830626E-6
629	2.9870243E-6
630	2.6297666E-6
631	2.7089927E-6
632	2.5899183E-6
633	2.8167742E-6
634	3.0217668E-6
635	2.9776313E-6
636	2.8539976E-6
637	2.5450545E-6
638	2.833951E-6
639	2.9558691E-6
640	2.807905E-6
641	2.8410147E-6
642	2.7118597E-6
643	2.7028957E-6
644	2.4647095E-6
645	2.4402273E-6
646	2.5528618E-6
647	2.9955456E-6
648	2.484339E-6
649	2.5971897E-6
650	2.864926E-6
651	2.6067494E-6
652	2.72824E-6
653	2.6192515E-6
654	2.4741632E-6
655	2.7113156E-6
656	2.362844E-6
657	2.6988384E-6
658	2.3820382E-6
659	2.9926819E-6
660	2.7069225E-6
661	2.7728058E-6
662	2.6682476E-6
663	2.8057486E-6
664	2.9853443E-6
665	2.4773726E-6
666	2.4204817E-6
667	2.518127E-6
668	2.5975103E-6
669	2.4101255E-6
670	2.7570973E-6
671	2.3425046E-6
672	2.5101854E-6
673	2.4381943E-6
674	2.388362E-6
675	2.9823025E-6
676	2.4770854E-6
677	2.237969E-6
678	2.395169E-6
679	3.0000208E-6
680	2.422845E-6
681	2.6285609E-6
682	2.981489E-6
683	2.5468E-6
684	2.34187E-6
685	2.338543E-6
686	2.653643E-6
687	2.543516E-6
688	2.507778E-6
689	2.543746E-6
690	2.608778E-6
691	2.3893872E-6
692	2.2484294E-6
693	2.616763E-6
694	2.9084447E-6
695	2.5098768E-6
696	2.4986266E-6
697	2.2690579E-6
698	2.6910232E-6
699	2.8521663E-6
700	2.6369585E-6
701	2.217383E-6
702	2.2943861E-6
703	2.3265563E-6
704	2.4952944E-6
705	2.406612E-6
706	2.3175112E-6
707	2.4256838E-6
708	2.22856E-6
709	2.2348486E-6
710	2.3075127E-6
711	2.5401575E-6
712	2.4541732E-6
713	2.2049983E-6
714	2.4424255E-6
715	2.173645E-6
716	2.271514E-6
717	2.1466549E-6
718	2.4625588E-6
719	2.5830052E-6
720	2.3594607E-6
721	2.411094E-6
722	2.2201705E-6
723	2.2475283E-6
724	2.3471982E-6
725	2.3174143E-6
726	2.392863E-6
727	2.4377393E-6
728	2.447512E-6
729	2.309488E-6
730	2.1045462E-6
731	1.9830725E-6
732	2.64371E-6
733	2.320107E-6
734	2.0580683E-6
735	2.1710441E-6
736	2.2735671E-6
737	2.1488313E-6
738	2.1817339E-6
739	2.057778E-6
740	2.2845777E-6
741	2.1144751E-6
742	2.2659954E-6
743	2.245306E-6
744	2.243014E-6
745	2.573306E-6
746	2.156874E-6
747	2.0152145E-6
748	2.1521134E-6
749	2.417183E-6
750	2.0874777E-6
751	2.052909E-6
752	2.07065E-6
753	2.1653698E-6
754	2.0437371E-6
755	2.4333604E-6
756	2.4158687E-6
757	2.0613663E-6
758	2.0058098E-6
759	2.072113E-6
760	2.2970912E-6
761	1.949526E-6
762	2.1610492E-6
763	1.958851E-6
764	1.9246481E-6
765	2.3215173E-6
766	1.9787446E-6
767	2.108853E-6
768	2.0876382E-6
769	1.9747E-6
770	2.1578544E-6
771	2.1465405E-6
772	2.0794762E-6
773	2.1842964E-6
774	2.1546332E-6
775	2.0663254E-6
776	1.973037E-6
777	1.9331123E-6
778	1.983543E-6
779	2.2329089E-6
780	1.9819815E-6
781	1.925383E-6
782	2.1760063E-6
783	1.975959E-6
784	1.8993334E-6
785	2.0190691E-6
786	2.2647484E-6
787	2.0189498E-6
788	2.2455083E-6
789	2.1496523E-6
790	1.9997417E-6
791	1.8579783E-6
792	2.1485198E-6
793	1.9029699E-6
794	1.8311162E-6
795	1.9602326E-6
796	1.9706508E-6
797	1.9589074E-6
798	1.941408E-6
799	1.8843539E-6
800	2.0623916E-6
801	2.0490445E-6
802	1.885926E-6
803	1.9214754E-6
804	2.0299472E-6
805	1.9797644E-6
806	1.9877275E-6
807	1.8513717E-6
808	1.8092193E-6
809	1.8978922E-6
810	1.9670947E-6
811	2.0800076E-6
812	1.9206914E-6
813	1.7855945E-6
814	1.8011259E-6
815	2.1663573E-6
816	1.9262006E-6
817	2.085219E-6
818	1.8107164E-6
819	2.0339346E-6
820	1.7956094E-6
821	1.7210446E-6
822	1.7722904E-6
823	1.8147285E-6
824	1.8342549E-6
825	1.9548079E-6
826	1.7256674E-6
827	1.9222234E-6
828	1.8048272E-6
829	1.8157555E-6
830	1.7606974E-6
831	1.768016E-6
832	1.7534625E-6
833	1.8033584E-6
834	1.7628726E-6
